Topic,Count,Name,Representation,Representative_Docs
77,22,77_printer_cartridges_hp_ink,"['printer', 'cartridges', 'hp', 'ink', 'canon', 'cartridge', 'warranty', 'photo', 'staples', 'purchased']","['i purchased a printer from amazon and they sent me a beach chair instead and refuse to honor the price i purchased the printer for or to even investigate the fraud. their answer is to just refund the money and for me to repurchase the printer at a much higher cost, over $700 more.', ""just wanted to share an amazon issue i had today in case you may be unaware of this selling practice.i received a canon printer as a christmas gift. i had a problem with it over the weekend that i could not solve using canon's online support. i called canon this morning as the printer has a 1 year warranty. canon said the number of the printer i gave them was not a valid number and i told them that is what is stamped on the front of the printer. they asked where it was purchased and i told them amazon. canon told me amazon sent me a canadian product and therefore the warranty is not valid in the us. they told me my only recourse was to call amazon.amazon did not want to do anything about it since it was after the 30 day return period. after a rather heated discussion with them about deceptive selling practices they did agree to refund after i return the item. i got an email from them with shipping instructions and an estimated refund which was 20% less (for a restocking fee). another discussion followed and i have to call them after they receive the return for the 20% to be refunded. they also did not want to refund me for 2 unused ink cartridges i had ordered but they finally agreed after i expressed my opinion on that. so, after 1 hour and 5 minutes on the phone with amazon today i get to call them back again for the 20%.tip of the day: don't order electronics from amazon."", 'hi , i purchased ink cartridges for hp printer which stated in the instructions that using these cartridges does not void the warranty , upon installing the cartridges lines started to appear on the prints , hp printers refused to repair due to non hp cartridges , which legally means the ink vendor is liable , but 4(four) times i spoke with amazon c/s and everytime the answer was ""claims department will call you in 48/72 hours and 4 times they failed to call so then i emailed the o.d.r who also failed to respond , as stated the seller is responsible for damaging my printer , i have now had to replace printer which cost £180 + cost of cartridges , out of my disabled benefits , so thankyou amazon for aiding and abetting criminal seller !']"
78,22,78_shopping_love_prices_its,"['shopping', 'love', 'prices', 'its', 'everyday', 'quick', 'shoes', 'every', 'friends', 'sites']","['honestly one of my favorites sites for shopping. its conveinet, quick delivery and prices are similar or even cheaper than in stores. my biggest problem is that i just wanna leave the house less and less since everything can be ordered off of amazon. their customer service was also speedy and quick to respond and refund me after an order was not the same as the listing. overall i use amazon almost everyday for purchases from clothes, shoes, books, and household products.', ""i love shopping with amazon, been a customer of theirs for quite a few years now. they have great deals. it's my go to shop every time, also love buying presents for good friends online via a wish list and i love ordering things from different countries every now and again ie dvd's and games and so fourth. amazon get's a huge thumbs up in my book any day."", ""i love amazon, they are always early for delieveries, i can count on them to get my order to me on time, it comes well packaged, and the prices are really good, what i do like is that there is such a variety of products to choose from.....easy refunds, and products you can't get anywhere else in a lot of cases, i trust amazon to do most of my shopping for birthday gifts, christmas gifts, and everyday shopping...""]"
79,22,79_tablet_warranty_fire_new,"['tablet', 'warranty', 'fire', 'new', 'replacement', 'hd', 'replace', 'device', 'gb', 'told']","['purchased the latest fire tablet from amazon.( my second amazon tablet). now find it is not possible to download the amazon drive app. onto new tablet! -- why? ----cannot now see al my stored data using the latest 2022 amazon tablet. unhappy customer who was previously pleased with original 10 year old amazon tablet.', 'my sons fire tablet 10 hd which was still under warranty was not working. i telephoned amazon on the 6th december and was told they had no replacements in stock and i was advised to order a new tablet and once it was delivered to ring up for a refund. i was not happy about having to purchase a new tablet at £199.99 but the representative assured me he had put all the notes on the system and that he would email before i purchased the new tablet so i had confirmation in writing that this is what he advised me to do. reluctantly i ordered a new tablet which arrived today. i telephoned amazon as advised and the customer service advisor basically told me that there was no way they would refund me for the tablet. when i tried to explain that i was told to this by amazon and i had proof, the advisor kept talking over me and cutting me off. i asked to be put through a manager and at first after a short hold he advised me that none of the managers want to speak to me. when i insisted i wanted to speak to someone higher up, a supervisor came on the phone who was extremely rude and said we didn’t send any email advising me to order a new tablet which amazon would refund. when i told her the date and time of the email and the person who sent it - she said she can’t help me and put the phone down. extremely bad customer service and i can’t believe such a big company will not honour what they said they would. i will not be ordering from amazon again!!! crap company!!!', ""i bought fire tablet for my kid in 2021 and this item has 2 years damage free warranty. in 2021,the tablet screen cracked,so i request the warranty service in amazon.i got new replacement tablet.in 2022 december, the tablet screen cracked again,the item still in warranty,so i try to send warranty service in amazon account order item page,but this tablet item page doesn't have warranty service function,so i call amazon customer service phone number,the customer guy told me she will help me send warranty service request and because the item page warrant button doesn't work so this time i will receive new tablet first and then shipping back the cracked tablet. after 10 days i never receive new tablet,so i call amazon customer service again, and the customer service told me the new tablet should be deliver on jan.15th, after i receive the new tablet and just need shipping back crack one in 30 days and she also send me a email with pre-paid label link. so i keeping waitting the new tablet and keeping focuse my truck driver job until my wife asked me why the kid still use cracked screen tablet on feb. and i just noticed we never received new tablet to replace, so i call amazon service again, this time another amazon customer service lady told me the tablet warranty was expired on feb. so she can do nothing. i should shipping cracked tablet first instead wait new tablet shipping to me.""]"
80,22,80_refund_told_associate_item,"['refund', 'told', 'associate', 'item', 'said', 'the', 'was', 'seller', 'me', 'received']","['i placed an order for a dress. upon receiving it, i discovered i received a completely different item than what i ordered. i then spoke to an associate who said it could not be exchanged but i could place a new order with express shipping. then the price difference of express shipping and sale (the item was on sale when i bought it) would also be refunded. logical since this was not my fault nor responsibility. i made a copy of the chat where they promised this. after multiple weeks and i think 7 times contacting them about this whole order, i still haven’t received the price difference back!! multiple things went wrong with the order and i contacted them three times about not receiving the price difference back. two of the three times the associate again promised the refund was being processed and i should receive it within 3-5 days. now today another associate (asad) said they can only offer store credit!!!! so first of all: three associates promised a refund in money of the price difference. where the first even emphasized to use express shipping since the whole thing was not my fault. 2. the mistake of receiving a completely different item should not affect the customer anymore than it already has 3. the amazon associates are completely incompetent since they cannot even read the chats properly and you have to explain the situation again and again4. i expect my money back and not some store credit which i dont use, especially not now. it’s common sense that when a store (independent sellers or not) makes a mistake, they fix it and the customer should not have to suffer or pay extra for it. moreover, the response of the last associate was absolutely ridiculous.be warned if you order at amazon!', 'i bought a pair of shoes, and i got a date when they should arrive. they did not arrive, and suddenly a new date was set, with a message they were delayed. this second date also passed, with no shoes and no further tracking info avaliable. i waited for a while, but then i reached out to customer serive by chat. i was told the item seemed to be lost or stolen along the way. i was asked to get new shoes. however, i was starting to be in a hurry for the date when i needed the shoes, and with normal delivery, i would not get them in time. i was then offered free express shipping. i was told i had to pay for it, but when the item arrived i was told to contact customer support again for a refund for the expenses of the express shipping. i was also told the chat would be stored so that i did not have to tell the whole story again. as this was promised to me, i aggreed to have the shoes sent another time, with express shipping. this time the item reached me as it was supposed to. i then contacted customer service again, but the person i got to talk to then, knew nothing about it. i had to explain everything all over again, and in the end i was told some other department or whatever had to handle it, and they would contact me within a day or so. i heard nothing from anyone after that. so now i tried again, as i am still missing the refund for the cost of the express shipping. i would not have bought the shoes otherwice, and at this point i would have been able to buy the shoes somewhere else for less. i was put in chat with first one person today, who sent me on to someone else in another department, that again left the chat so i had to start from scratch again with someone else for the 5th time. this person just telles me i was wrongly informed and they will not refund me anything. i used to think amazon was a deasent company, and i was really not happy to be hustled like that. i have saved the entire chat history and can document everything, but when someone at their company has told me something wrong, they still let me as a customer be the looser. what happened to ""we are sorry, of course you\'ll have the refund, there must have been a misunderstanding on our behalf""?never shopping at amazon again, and i strongly recomant the same for everyone else. stay away.', 'update 11/6/21: it\'s november and still no pc or refund! after calling them out on twitter a few days ago, they sent me an email to pretty much let me know that they\'re not going to do anything because it has passed the 90 limit for a claim. meanwhile, the rep made sure to for some reason, send me a link to the sellers feedback page which ironically, has several reviews of people complaining about getting denied refunds or also missing items after returning them. i showed them this in another email and of course, they just glossed over it and pretty much said ""whoops lol sorry."" a different rep decided to reply to the email and showed me proof of the email that the previous one had sent to the seller well low and behold, there\'s also proof of the last email that the last rep also sent to the seller which of course went unanswered, along with the 3 other messages i had sent to the seller too dating back to july of this year! i swear these ""people"" don\'t read anything! and probably on purpose.oh, and that refund that was sent as ""compensation"", yeah, now they\'re threatening to charge me because the associate that did it, sneakily processed it as a regular return request. if anyone happens to come across a 3rd party seller named premier660 on amazon or any other platform for that matter, do not buy from them. they will sell you damaged products hoping that you don\'t know enough about them to realize that they\'re broken, and then when they do break after 30 days, they\'ll ignore you continuously. amazon will of course, play into this and will run you in circles telling you to wait 3-5 business days while they email the seller for a response in hopes that they can run the time out that you have to file a claim.horrible customer service and shady third party sellers! i have spent months trying to resolve an issue with a damaged pc i ordered earlier this year. i contacted a rep after not hearing from the seller or manufacturer and they approved me for a partial refund and sent me the label. seller tells me not to send it back or else they’d just deny the request (even though it had already been approved) and would return it back to me. since this was the first time i’ve ever had to return something, i didn’t return it. my mom then goes and returns it (before the seller denied, i was at work when i received the label and didn’t want to use the company computer to print it so i sent it to her and asked her to print it out at home. i told her to discard it after i was messaged by the seller so that’s why she had access to the label and was able to ship it without me knowing.) it has nearly been an entire month and i have not seen the pc or the partial refund that the first associate said i’d get. the no refund, i can accept as i figured that wouldn’t be happening. but if you’re going to take both my money and the product back, then i’d either like said money refunded or said product returned to me like the seller said. i contacted another rep a week or two ago and they tell me that if i didn’t get a response within two to three business days, that i was ok to contact another associate and file a claim to process a partial refund. they then refunded me for another purchase as compensation, which i didn’t ask for.so i wait, then try contacting a rep again as they said, and get told that i can’t file a claim because it’s past 90 days. when i told them that the last rep told me that i could (and i have screenshot evidence of this), they glossed over it and told me that i shouldn’t have tried to return the product. i told her that it was done without my knowledge and asked what could be done to which she replied with “i can email the seller and ask them to return the pc or refund you” which is what i’ve already been doing for months now, and told me that if they don’t respond, i have no other options but to accept the loss. huh? so you’re fine with allowing the seller to keep both the item and my money? nah, i don’t think so.the whole experience has been such a huge nightmare that i almost want to do just that. all i’ve been told is “sure! just wait x amount of days” or “message the seller” i’m tired of messaging and waiting! it has already proven to not work! the seller has sneakily removed the product to hide the bad reviews on the product as well as my review with the original screenshots, so it’s obvious that they know what they’re doing! teach your reps how to actually help people instead of reading scripts and giving false answers to get the customer to shut up! after this, i honestly don’t know if i want to order from amazon anymore knowing that if i have an issue with a product, this is the type of service i’ll be receiving!']"
81,22,81_bike_scooter_electric_ancheer,"['bike', 'scooter', 'electric', 'ancheer', 'sons', 'birthday', 'seat', 'it', 'peg', 'cancelled']","['3 times i have had my sons bike order cancelled. always at the last minute, so now he did not get the bike he wanted for christmas and will now not get it for his birthday 6 months later either. customer service is all chat bots and dare i say it people who are difficult to understand, especially if you have any hearing issues. the second time the order was cancelled i rang customer service we ordered a different bike and i was told it was definitely not going to be cancelled this time. lo and behold the next day the order was cancelled. apologies galore but no real service solutions and the seller is still saying the bike is in stock and i could potentially buy it again today, only to have it cancelled again. amazon do not have any care for customers who use the third party sellers on their site and certainly do not manage those sellers well. utterly shocking and very disappointing. 5 hours of my life wasted.', 'i really hate to say this but amazon has fake sellers! i ordered an electric bike/scooter for my sick child (for xmas)in october from amazon. i got a message next day that it shipped but a few weeks later it said it was going to be late-twice.( then they messaged me a week or so before xmas stating that the bike was lost in transit!!!!!! i tried to pull this same scooter/bike up on their website and it no longer exists—just weird!!! they told me there was nothing they could do but give me my money back! who does this right before xmas????—i’m just so sad and disappointed in amazon—there’s no words to describe…i also know they are not going to read this and nor do they really care but maybe people will. who does this to people??? bezos', ""i purchased ancheer electric bike through amazon. the tires popped the first day i rode it. i went to walmart to buy new tires, since amazon could not help me. the tubes are not the ones for this type of bike. later i went to plug the adapter wire together as the cheap box cracked. after finally being able to put the 2 pieces together, when i tried to plug it into the bike, not the outlet, it sparked. i contacted ancheer from the info in the booklet, phone just rang. noone could help me from the email response i received. they referred me to amazon. the person i was referred to has never contacted me. i have spoken to numerous staff and one supervisor who told me they couldn't help me. originally they told me to contact the seller. i did , no assistance what-so-ever. i have a warranty, as the ancheer staff tells me they are just agents for ancheer, and refers me to amazon. ancheer recently stated since i did not buy the bike from them i have to have amazon take care of it. amazon cannot help, refers me to seller. seller wants me to take bike somewhere to pay to get it fixed. i really want to tell them all where to go. take it, this all has been going on for months. it has been 9 months of seeking assistance, 11 months of not riding my 400.00 bike. there also is no bike shop in my city. i am seeking outside assistance. if the pandemic was over i would take them to court and let the judge figure it out.do not buy any electric bikes from amazon,or ancheer. they all get a bad review and the seller, commors.""]"
82,21,82_package_lost_very_relation,"['package', 'lost', 'very', 'relation', 'service', 'ever', 'bad', 'customer', 'everyday', 'shown']","[""very bad experience, i don't advice any person to buy from them, they make me very disappointed with my order, getting too much late, when i called them to verify, they shown careless like they don't care and asked me to check with courier. very bad service ,i'm very disappointed and not happy. they give me too much tension and i was shaking about my order. now my order shown shipped but running late. i dont know when i will receive my order.... ..this is my last order ever."", 'horrible my wife was checking a package she was supposed to get the last customer service had a attitude with my wife even though they gave her a refund all she wanted to do was check and the lady had a nasty attitude telling her oh what you want ya package free and hung up on her not cool and very unprofessional', 'according to the amazon website:""used - like new: an item in perfect working condition, the packaging may bear some damage. the item fully functions, and all its essential accessories are complete.""it keeps on stating how carefully all products are evaluated and controlled for all parts and functionality by the amazon team.despite that claim, i got a weather station but its outdoor sensor was missing.how can you describe it as a careful evaluation? does someone at amazon read these reviews? is it just a generic process as sincere as the overused ""your call is important to us"" ! yeah, right !']"
83,21,83_age_18_id_birth,"['age', '18', 'id', 'birth', 'alcohol', 'talisker', 'over', 'whisky', 'identification', 'driver']","[""an amazon delivery driver turned up on my door step with a parcel in my name and my address thereon sent by an as yet unknown relative. the courier refused to hand over the parcel until i provided proof that i was over 18 and of my date of birth. i am over 60 years of age and look it. in these circumstances, as i look over 25, there is no legal requirement to furnish proof of my date of birth let alone provide it to a complete stranger on my doorstep. speaking with 'customer services' on-line took me nowhere further forward at all. i have no idea where my parcel is now or what will happen to it."", ""amazon are unprofessional, they don't know their own rules on age restricted products, one person says that someone clearly well over the legal age limit doesn't need to produce id, another one says we do. i refuse to show my debit card which the driver said is appropriate id (work that one out of you can) so he could take a photo of it before he would hand over some vape coils and a tank. rang customer services and shannon was unhelpful. the driver didn't even wear a mask but stood closer than 2 meters to potentially hand over a parcel. previously amazon have stated that you do not need to show id if you are clearly over the age restriction limit, we will no longer be ordering the many items we used to order through amazon."", ""our lass ordered me some razor blades when they came i answered door a very rude driver wanted my date of birth, i'm clearly over the age of 25 and refused to give out such personal details to someone i don't know as they could then be halfway to all my information to commit fraud, i closed door and he angrily glared at me through my window acting aggressively minutes later he stormed up my path and once again demanded my age, i'm over 50 and am no way required to give out my age as common sense would tell you that but amazon quite clearly are not training drivers correctly or are employing people with very little intelligence, my father in law was in house and he couldn't believe the drivers attitude, i rang amazon to complain but nothing been done same driver will most probably be hassling pensioners today somewhere else""]"
84,21,84_packages_delivery_house_prime,"['packages', 'delivery', 'house', 'prime', 'apartment', 'drivers', 'delivered', 'build', 'office', 'leasing']","['amazon prime is no longer with it due to amazon delivery. at my old apartment they continually delivered packages to the apartments across the street instead of the correct apartments. at my new apartment the will not deliver to the apartment even after the management office is closed. if the come after the management office closes, they simply mark the package as undeliverable even when i am home.unlike experienced delivery devices that are smart enough to have specific people an area, amazon delivery people change and may not know the delivery area. this causes them to get lost and you can see them driving around for hours looking for an address. i am thinking of just using walmart. they use experienced delivery or i can pick it up at the kiosk on my way home without paying them $120 a year.', 'horrible delivery service. first of all i’m disabled it’s very hard to leave the apartment. i have it in my amazon delivery instructions to deliver the package to my home since i’m home every day. do they do this? rarely what do they do? they pull into the apartment leasing office and dump all the packages on them. they make zero attempt to actually deliver the packages to the customers at least that’s how it works here in atlanta. the leasing office has told them that they need to attempt to deliver before taking it to the office but they never are rarely do. because of this i will no longer be using amazon. i pay for prime for two day delivery and rarely getting it. dumping packages out and a leasing office because you’re too lazy to do your job isn’t delivery.', ""used to love amazon and when prime started it was great. the issues started when amazon began to make their own in house deliveries since then in over 12 months every delivery has been late or delivered to entirely the wrong address on my road. with complaint after complaint doing nothing to resolve this. customer services are a joke asking if i have canvassed the local neighbours if they have received it. i would appreciate that if i were in the middle of nowhere but with two blocks of flats i am not spending hours doing the delivery drivers job for them. or straight up marking packages as attempted on the week when i am home all day.in short prime is a waste of money for several reasons;1) video has gone from a streaming service to having poor choice with most items being pay to rent or buy. those available are now saddled with a premium service within a premium service with adverts throughout.2) prime next day delivery is hopeless the drivers either lie and mark deliveries as complete when they haven't tried or are too clueless to find an address (royal mail and other providers manage just fine,)3) over priced rubbish with little benefit""]"
85,21,85_christmas_shopping_free_always,"['christmas', 'shopping', 'free', 'always', 'shipping', 'lots', 'most', 'effortless', 'well', 'buying']","[""i have been buying from amazon for many years, books, cd's, electricals' , christmas gift, the list is endless. prices are always competitive, delivery effortless, even during the extreme cold of christmas 2010, items still seemed to arrive with 24 hours. amazon does exactly what it aims to do, and it does it very well."", 'i have been shopping with amazon now for approx 2 years. i have bought lots and lots of lovely things from this wonderful company. never once been dissappointed!! . .always been true to thier word . .delivery excellent. great communication at all times. i look forward to shopping lots again in 2012. thank you for all your support, and excellent professionalism!!. a very happy christmas to everyone.', 'i do much of my shopping and make most of my purchases on amazon.com. always had a good experience with it for many years. the free shipping used to be very quick but now takes several days, but that\'s not a complaint really. options to have it ship quickly are always there and if you use prime you can have it in two days on many products. there are many ""third party"" sellers on amazon now and you have to be a little careful with them and read their ratings to get an idea of what to expect from them. prices are not always the lowest now so shop around, but service and website navigation is outstanding. great place to shop online.']"
86,20,86_policy_great_returns_return,"['policy', 'great', 'returns', 'return', 'easy', 'policyyou', 'refundslistens', 'good', 'cracking', 'awkward']","['great customer service and return policy--you get all your money back and free shipping on returns. love amazon.', 'great customer service and refund policy!', 'great delivery and return policy.']"
87,20,87_christmas_xmas_dec_presents,"['christmas', 'xmas', 'dec', 'presents', 'ordered', 'arrived', '23rd', 'december', 'before', 'gifts']","['ordered some christmas gifts as i do every year. delivery was fast within 2 days, which helped as i had ordered a little late. i received my order on the 24th, just in time for christmas. reliable as ever.', 'well done amazon, my sons christmas gift will not arrive in time for christmas even though it stated in stock and delivery before christmas when i ordered it.once again well done.', ""do not use amazon during christmas. i bought 19 items in total. i only bought one from amazon. it was the very first item i bought and i only bought it from amazon because it said it would arrive between the 21-23. the seller took three days just to print the label and here we are on dec 26 and the item still hasn't arrived 13 days after i ordered it. meanwhile. the other 18 items arrived including some from as far as italy. my step dad ordered two items from amazon and the same exact thing happened. it appears that they may be falsely advertising their delivery times to get people to order. then they don't tell you it won't arrive on time until it is too late to order from somewhere else so that you have gifts to give. i will never use amazon again during christmas and i would not recommend anyone else use them either unless you don't want your gifts by christmas. the worst part is that they sent me an e-mail today to review the product that still hasn't even arrived.""]"
88,19,88_toothbrush_tooth_electric_brush,"['toothbrush', 'tooth', 'electric', 'brush', 'dental', 'brushes', 'mouth', 'whitening', 'hygiene', 'bought']","[""my wife bought a really expensive toothbrush on amazon.com as not available in the uk. (£350 + £75 import and postage).yes i can tell her big waste of money 6 months in the brush has stopped working but amazon don't comply to the sale of goods act, they are not a shop you can take your product back if faulty, i am now having to go direct to the manufacturer in south korea, who incidentally is not responding to emails to try and get it repaired or replaced. amazon therefore is a multibillion $ waste of time if you are let down by the product. after also seeing first hand how they treat their factory workers i will be thinking twice about convenience verses the bitter taste of disappointment and moral concerns."", ""orderd an electric toothbrush and what i recived was a used, nasty, never cleaned, electric toothbrush. extreamly disgusting! if i had been blind i would have probably used it before noticing something was off. i have lost all confidence in amazon and recommend others to follow suit. i'm not petty, amazon is just complete garbage."", 'i purchased 2xstarwin portable uv toothbrush and contacted them to get a return slip as they were too small for electric toothbrush (on the ad they said they fitted all toothbrushes including electric. i returned on 27 april and sent them photos of the return package and photo of the tracking no. on tracking it shows it was delivered 11 may. i have sent a dozen emails, always including photos and have not had one reply and certainly no refund. it cost $121.48.']"
89,19,89_items_deliver_sold_company,"['items', 'deliver', 'sold', 'company', 'happens', 'measuring', 'fruit', 'amazon', 'only', 'delivery']","['i have been a customer of amazon.com for a long time. i am overall satisfied with its services. however, when i share my reviews, only the positive ones get posted. also, lately, as much as l would like to be understanding of the special circumstances of the pandemic and the confusion it has created, i find myself more inconvenienced than what it is reasonable, from my perspective. when ordering supplies; whether because of unavailability of it, or at times showing available items on the site, yet not been able to order them. for one reason or another not been able to place items in the ""cart."" i have tried to reach customer service to place the order, when in real need of an item. customer service has had a recording which states it is also unavailable? is there something going on i am not getting? i wish i could stick to this site...but it\'s been kind of challenging to do so. hope it can improve and that it is just a temporary situation. thanks. denise.', ""i ordered a small item with address of a hospital and office room for delivery. but amazon wrote on my order that they cannon deliver the item because the address is wrong.the same week that they wrote that they could not deliver the item, i had purolator deliver an item i bought on bestbuy to the same address and same office number. i spoke to a customer service person who assured me that it will be delivered the following day because the verbal instructions i provided in addition to the written instructions are more than adequate. i also added that in case of any challenges as they reported, they should call my cellphone.it is very difficult to get a customer service who knows what they're suppose to do at amazon. besides if you survey the prices carefully you will notice that amazons's prices are actually higher or same to the items being sold in actual stores like bestbuy and others.the customer service at amazon is below poor. if i could rate amazon anything from zero to minus......that is what i would rate them. i encourage amazon customers to start shopping elsewhere and that is the only solution for amazon to take a second look at treating with respect, the customers who are making amazon and business associate rich.thanks"", ""ordered a book and a movie (dvd) - from different individual sellers on amazon, on may 18, 2021. both individual sellers shipped the items quickly. it's now june 27, 2021 (40 days later), and i still haven't received any of these items shipped from amazon's facility (not the individual seller's fault - only amazon). i decided that after amazon's appalling service so far with delivery times, to cancel an order i had made in the meantime, some digital calipers (for measuring fruit size), as well as a brix meter device (for measuring sugar content/sweetness in fruit) because they hadn't even shipped the items after 7 days of utter incompetence. when you try to get information as to where the hell your items are, you're greeted by a useless ai message bot that basically tells you information you already know - like that your order is running late - which is such *helpful* information (please note my sarcasm). clearly they don't have humans working at amazon anymore. i honestly don't know how on earth amazon is still a company - after such bad service, and review after review of bad service (clearly i'm not the only one) and apparently many ex-workers of amazon too (you only need to do a quick youtube search). clearly a bad company, with even worse service. take your money elsewhere, folks - support your local business, rather than this company that is so utterly incompetent. i will never use amazon again. monkeys could run a company better. honestly.""]"
90,19,90_english_speak_customer_call,"['english', 'speak', 'customer', 'call', 'cant', 'over', 'terrible', 'servicethey', 'understand', 'service']","['horrendous!! absolutely the worst c/s i have ever seen in 43 years! disgusting!! it is impossible to talk to someone in clear english, the same problem requires countless attempts to address one small problem it absolutely mind blowing they can get away with this and still be in business!! wowww!', ""the customer service was horrifying. i was on the call for over a hour and spent 10 minutes trying to dictate my email address. the people there can't even understand english. they brought me over to the manager whose name waseem and he was not even helpful. i am very disappointed with this cheating business. even being a prime member is no use. they don't even deliver on time.i absolutely don't recommend this business, to either buy anything from amazon or ask anything."", 'the phone customer service is very shoddy. purchased many things over many years and the times i\'ve had to call for help and support have been painful. latest example, 9/22/21- purchased a refurbished laptop through amazon renewed and it was faulty. had to call customer service and it support 7 different times across a week. service ranged from ""can\'t help me"", to ""won\'t help me"" to just hanging up no reason. hold times of 20+ minutes after connecting to agents. support calls lasting over an hour only to be hung up on by a french canadian that doesn\'t speak any english after asking for a disgruntled woman\'s supervisor. i\'m livid. what a waste of time. and it\'s my fault for continuing to purchase from this monolith because everything is usually cheaper. ugh.']"
91,18,91_price_prices_selling_lacking,"['price', 'prices', 'selling', 'lacking', 'mrp', 'while', 'bucks', 'sellers', 'more', 'regular']","[""what has happen with amazon's prices? not so long ago i found them cheaper then ebay but not know. on both sites i found the choices to choose from the same item for the cheaper prices are not great and hardly any options anymore and the delivery charges gone through the roof too. other countries always bring their prices down to attract customers but i find in england it works the other way round, charge more and less customers but hopping those dummies will pay for it. pointless and others have no choice when you really need the item."", ""amazon needs to put sellers in check. i found so many items that are selling for double triple the price, and sometimes quadruple the price..like vans shoes, i saw them selling for 130 bucks while at the store they are 50 to 60 bucks. i just found a cologne they are selling for 95 and at bi-mart its 8 bucks. im really close to deleting amazon. i haven't ordered anything from them in about 4 years anyway."", ""while i've had great experiences with amazon.com previously. i recently had a purchase, that within hours the price dropped by $10. when i contacted customer service they stated they do not do a post-purchase price refund.i found this to be surprising, considering that they seem to be abreast at staying the most competitive as well as giving the best customer service. this area is lacking and may be something they should reconsider in the future. while this was only a $10 purchase, it gives me pause before larger purchases in the future; considering that there could be a change in price that they will not work around. most every other store i've shopped with will make allowances for this type of change. i find this to be considerly lacking for such a large and profitable company""]"
92,18,92_prime_membership_hai_card,"['prime', 'membership', 'hai', 'card', 'account', 'charged', 'credit', 'your', 'bank', 'charge']","['on updating my financial accounts i see a charge for 14.99 usd that i have no record of. as i check it out further i see i have the same charge a month earlier to the exact day. it becomes apparent that i am being charged a monthly fee for amazon prime. i discontinued prime in july 2022 when my annual fee came up as i could no longer justify the fee which seemd to keep going up on a regular basis. i had to try twice to escape prime. the first time i was under the impression that prine was cancelled only to see a few day later that i man still under prime. the second time i managedd to make it stick which is a challenge in its own right. october i am again under prime and i had not knowingly subscribed. i contacted support. amazon used to have great support but no longer. it was down to a chat which i personally dislike. it took 4 different individuals over nearly 1.5 hours to finally get confirmation that prine was canelled and that the fees taken without my consent would be reversed. i asked for an email confirmation of the process as i was not keen on repeating it. i was assured that an email would be forthcoming. no email confirmation of the cancellation and reversal of fees. three days later i checked my account to see that i am still a proud amazon pirme subscriber. 5 days later i check my bank account and there is no reversal of fees. so it would appear that the support individual lied. what other conclusion can be drawn.', ""i just got in touch with their customer service team through the chat. since the person i spoke to was kind of rude and pretty much called me a liar i thought i'll come on here and see if people had similar experiences.so i got in touch with them because i was charged for amazon prime. haven't bought amazon prime and have not used the free trial (for anyone wondering). so i saw it on my bank statement and was super confused. i went on my amazon account and to the prime section. on there it said- you are not currently an amazon prime member. which got me even more confused so i contacted the customer support team. explained the situation and asked how to cancel because you can't cancel it if it's not showing on your account obviously. so the person that was talking to me said that it is showing on my account and that he will cancel it for me and i will get a refund. i asked does he know why it's not showing on my account if i'm being charged for it and where is the charge even coming from if i haven't signed up for it. he said that i have signed up for it and it's showing on my account. so pretty much calling me a liar. i realised there is no point to try and prove myself right so i just said thank you. before even responding with a- thank you for contacting us or have a good evening the person just left the chat. it just made me feel so weird after and i honestly felt like i was a criminal trying to scam money out of them when this was not my fault at all!!!"", 'many people to talk to, but no one who can really help your issue. they all just tell you the same thing. my personal card was charged on my company\'s business account for prime. so i called in and the rep told me he would refund my card and give me prime for free for the next year. sounds nice, right? next thing i know, the prime membership on the company is canceled! i call in and they say the rep promised me something they can\'t fulfill (she will send a message to his manager to make sure he knows this for the future.. gee thanks) and he also canceled my membership, but ""no worries"" you can just sign up again on the sign up page. so about the promise, i argued with the rep saying a company such as amazon should stand behind what their reps, even if the rep made a mistake. we had it out for a few minutes until she said she can offer me a partial promotional credit to my account for compensation. it was almost the full amount so i consented. about the continued membership, ""no worries, just sign up from your end because we can\'t do it from our end."" oh, but when i go to the sign up page, the price for business prime is now $179 and we were paying $119! even after emailing and complaining that i got into this mess from a rep that made a bad mistake, it\'s not my fault that my membership was cancelled and if it hadn\'t been i would be still paying the lower rate, every rep who emails me just tells me the same thing: our terms changed and we ""offer business prime memberships for business account where the customers can simply make purchases and avail two-day free shipping. this completely for a free shipping purpose and the other benefits of prime will not be given."" sounds like it should be cheaper, right? $60 more than standard prime for personal accounts. not getting anywhere with amazon and very frustrated with ""earth\'s most customer-centric company.""**after calling back and asking to speak with a manager, i was able to sign up again for the business prime and he will refund me for the difference of $60 this one time. he said as of next year standard prime will no longer be available for business accounts so then i will have to make my decision but for now, he gave me the lower rate for business prime. now we\'re talking sense. thank god for managers']"
